text,sentiment
The system was on the desk.,neutral
The product specifications are in the item,neutral
The file has been downloaded.,neutral
I can't believe how terrible this is.,negative
The file has been downloaded.,neutral
What a perfect party,positive
The object is rectangular.,neutral
The whole thing was a terrible experience,negative
The company is based in new york.,neutral
Please review the attached book,neutral
Please review the attached house,neutral
I loathe having to do this.,negative
The movie was bad,negative
The meeting will begin shortly.,neutral
I despise having to do this.,negative
The meeting will begin shortly.,neutral
It's a dreadful day for me.,negative
This is a factual statement.,neutral
Please review the attached water,neutral
I completely dread this.,negative
The service was miserable,negative
The event is scheduled for tomorrow.,neutral
I can't believe how frustrating this is.,negative
I am thoroughly impressed and happy,positive
The movie was unhappy,negative
He is blue,neutral
The food tastes lovely,positive
It's a great day today.,positive
This is a factual statement.,neutral
The product specifications are in the report,neutral
The company is based in new york.,neutral
This situation is a total failure,negative
I absolutely cherish this.,positive
What a frustrating situation.,negative
What a unhappy situation.,negative
The news was quite horrible,negative
Everything about this is just content,positive
The whole thing is a waste of time,negative
I wholeheartedly value this product.,positive
Everything about this is just wonderful,positive
The whole thing makes me feel sick,negative
I feel very worst,negative
The file has been downloaded.,neutral
Please review the attached product,neutral
What a delighted wonder,positive
What a lovely party,positive
I can't believe how poor this is.,negative
The file has been downloaded.,neutral
This party is a reason for sunshine,positive
I feel so great,positive
This is a factual statement.,neutral
It's a fantastic day today.,positive
The food tastes lovely,positive
The report contains five sections.,neutral
The product specifications are in the table,neutral
The company is based in new york.,neutral
The file has been downloaded.,neutral
This situation is a total disaster,negative
The news was quite sad,negative
I am thoroughly impressed and fantastic,positive
It's a sad day for me.,negative
This miracle is a reason for friendship,positive
My day was filled with friendship,positive
The meeting will begin shortly.,neutral
I feel very useless,negative
The event is scheduled for tomorrow.,neutral
I absolutely cherish this.,positive
I absolutely praise this.,positive
It's a superb day today.,positive
This is absolutely annoying,negative
The experience is a joy to watch,positive
The object is rectangular.,neutral
The report contains five sections.,neutral
This is a factual statement.,neutral
The building had on the desk.,neutral
Please review the attached item,neutral
Everything about this is just joyful,positive
This is truly joyful,positive
The report contains five sections.,neutral
I completely dread this.,negative
Please review the attached table,neutral
What a worst situation.,negative
I can't believe how sad this is.,negative
The company is based in new york.,neutral
I feel very frustrating,negative
The company is based in new york.,neutral
The object is rectangular.,neutral
The service was unhappy,negative
I feel very depressing,negative
The company is based in new york.,neutral
My day was filled with miracle,positive
The product specifications are in the report,neutral
The service was bad,negative
I wholeheartedly value this product.,positive
Please review the attached table,neutral
I refuse having to do this.,negative
The report contains five sections.,neutral
She is reading the book,neutral
My day was filled with paradise,positive
My day was filled with achievement,positive
I can't stand having to do this.,negative
I feel very useless,negative
Everything about this is just fantastic,positive
The experience makes me happy,positive
I feel very sad,negative
The whole thing is not worth it,negative
The meeting will begin shortly.,neutral
The movie was disappointing,negative
This is absolutely poor,negative
I wholeheartedly enjoy this product.,positive
The report contains five sections.,neutral
The event is scheduled for tomorrow.,neutral
Please review the attached product,neutral
The food tastes happy,positive
The object is rectangular.,neutral
I feel very miserable,negative
What a worst situation.,negative
The meeting will begin shortly.,neutral
This is truly perfect,positive
The meeting will begin shortly.,neutral
The experience exceeded all expectations,positive
I can't believe how bad this is.,negative
The movie was sad,negative
The news was quite depressing,negative
This situation is a total struggle,negative
My day was filled with joy,positive
This is truly wonderful,positive
The product specifications are in the computer,neutral
The object is rectangular.,neutral
My day was filled with opportunity,positive
I'm dealing with a dreadful scam,negative
The object is rectangular.,neutral
My day was filled with treasure,positive
The food tastes satisfied,positive
The event is scheduled for tomorrow.,neutral
I completely refuse this.,negative
I can't believe how disappointing this is.,negative
I can't believe how disappointing this is.,negative
I absolutely praise this.,positive
The file has been downloaded.,neutral
The meeting will begin shortly.,neutral
This is truly pleased,positive
The meeting will begin shortly.,neutral
The food tastes satisfied,positive
The object is rectangular.,neutral
I can't believe how annoying this is.,negative
I absolutely adore this.,positive
The food tastes lovely,positive
Please review the attached table,neutral
She is using the system,neutral
She is using the system,neutral
This is truly satisfied,positive
I can't believe how sad this is.,negative
I can't believe how poor this is.,negative
The service was poor,negative
I wholeheartedly enjoy this product.,positive
The event is scheduled for tomorrow.,neutral
I feel so superb,positive
This is a factual statement.,neutral
The food tastes pleased,positive
The service was useless,negative
The product specifications are in the report,neutral
The service was useless,negative
I absolutely cherish this.,positive
What a depressing situation.,negative
That are a standard procedure,neutral
It's a depressing day for me.,negative
I absolutely praise this.,positive
It's a happy day today.,positive
I completely dread this.,negative
The service was bad,negative
The city were on the desk.,neutral
The product specifications are in the product,neutral
The meeting will begin shortly.,neutral
The meeting will begin shortly.,neutral
This bliss is a reason for paradise,positive
The report contains five sections.,neutral
I'm dealing with a annoying mess,negative
This is a factual statement.,neutral
This opportunity is a reason for paradise,positive
What a miserable situation.,negative
What a miserable situation.,negative
The company is based in new york.,neutral
This is a factual statement.,neutral
The book had on the desk.,neutral
This is a factual statement.,neutral
This joy is a reason for gift,positive
I'm dealing with a frustrating failure,negative
I am thoroughly impressed and superb,positive
The product specifications are in the city,neutral
It's a joyful day today.,positive
What a unhappy situation.,negative
Please review the attached table,neutral
The meeting will begin shortly.,neutral
My day was filled with friendship,positive
This situation is a total mess,negative
It's a disappointing day for me.,negative
I wholeheartedly recommend this product.,positive
This is absolutely poor,negative
The report contains five sections.,neutral
The company is based in new york.,neutral
She is reading the book,neutral
This situation is a total burden,negative
The event is scheduled for tomorrow.,neutral
The whole thing is not worth it,negative
I feel so wonderful,positive
The whole thing is very disappointing,negative
This is a factual statement.,neutral
It's a dreadful day for me.,negative
The service was useless,negative
The news was quite miserable,negative
It's a annoying day for me.,negative
It has located in the city center,neutral
I completely despise this.,negative
It's a thrilled day today.,positive
The food tastes satisfied,positive
The file has been downloaded.,neutral
I wholeheartedly enjoy this product.,positive
Everything about this is just satisfied,positive
The document has blue,neutral
The object is rectangular.,neutral
This joy is a reason for treasure,positive
I am thoroughly impressed and excellent,positive
This is absolutely bad,negative
The product specifications are in the computer,neutral
The company is based in new york.,neutral
Please review the attached book,neutral
The event is scheduled for tomorrow.,neutral
The object is rectangular.,neutral
This is truly joyful,positive
What a thrilled bliss,positive
The news was quite worst,negative
The whole thing is a total failure,negative
The object is rectangular.,neutral
I can't believe how sad this is.,negative
This is absolutely miserable,negative
Please review the attached car,neutral
This situation is a total problem,negative
This is absolutely dreadful,negative
The report contains five sections.,neutral
The event is scheduled for tomorrow.,neutral
I completely dread this.,negative
It's a thrilled day today.,positive
The company is based in new york.,neutral
It's a abysmal day for me.,negative
The food tastes content,positive
The product specifications are in the system,neutral
What a amazing success,positive
Please review the attached water,neutral
I am thoroughly impressed and lovely,positive
The report contains five sections.,neutral
I'm dealing with a miserable nightmare,negative
The service was worst,negative
The news was quite miserable,negative
This situation is a total pain,negative
The food tastes satisfied,positive
I dislike having to do this.,negative
This is a factual statement.,neutral
I refuse having to do this.,negative
The company is based in new york.,neutral
It's a happy day today.,positive
It's a awesome day today.,positive
The experience was a great experience,positive
I'm dealing with a annoying problem,negative
The meeting will begin shortly.,neutral
I feel so amazing,positive
The event is scheduled for tomorrow.,neutral
I despise having to do this.,negative
I wholeheartedly support this product.,positive
The meeting will begin shortly.,neutral
The movie was useless,negative
This is truly satisfied,positive
I absolutely support this.,positive
This wonder is a reason for paradise,positive
I feel very depressing,negative
I regret having to do this.,negative
The file has been downloaded.,neutral
The product specifications are in the phone,neutral
I feel very annoying,negative
The performance was joyful,positive
The event is scheduled for tomorrow.,neutral
The object is rectangular.,neutral
She is attending the meeting,neutral
Everything about this is just excellent,positive
Please review the attached product,neutral
I wholeheartedly recommend this product.,positive
I completely dislike this.,negative
This is absolutely terrible,negative
The service was annoying,negative
I wholeheartedly adore this product.,positive
She is reading the book,neutral
This party is a reason for friendship,positive
The company is based in new york.,neutral
I completely dread this.,negative
She is driving the car,neutral
The performance was amazing,positive
I am thoroughly impressed and content,positive
This is a factual statement.,neutral
This wonder is a reason for bliss,positive
The whole thing is not worth it,negative
The report contains five sections.,neutral
The product specifications are in the phone,neutral
The product specifications are in the book,neutral
The event is scheduled for tomorrow.,neutral
This achievement is a reason for success,positive
The product specifications are in the computer,neutral
What a great gift,positive
The company is based in new york.,neutral
This is absolutely worst,negative
I absolutely recommend this.,positive
This situation is a total pain,negative
The product specifications are in the computer,neutral
The news was quite depressing,negative
The item has a standard procedure,neutral
What a bad situation.,negative
I completely refuse this.,negative
The whole thing was a terrible experience,negative
The service was bad,negative
It's a great day today.,positive
It's a happy day today.,positive
The experience exceeded all expectations,positive
I can't believe how miserable this is.,negative
Everything about this is just brilliant,positive
The whole thing is a waste of time,negative
The meeting will begin shortly.,neutral
Please review the attached house,neutral
The event is scheduled for tomorrow.,neutral
What a perfect bliss,positive
The report contains five sections.,neutral
The news was quite awful,negative
The movie was poor,negative
This is truly fantastic,positive
The meeting will begin shortly.,neutral
My day was filled with friendship,positive
The performance was wonderful,positive
I am thoroughly impressed and perfect,positive
This is absolutely horrible,negative
The food tastes brilliant,positive
I feel so amazing,positive
I can't believe how annoying this is.,negative
Everything about this is just great,positive
She is reading the book,neutral
The system was on the desk.,neutral
This is absolutely miserable,negative
The product specifications are in the city,neutral
I wholeheartedly appreciate this product.,positive
She is preparing the report,neutral
The meeting will begin shortly.,neutral
The experience is my favorite,positive
This is truly lovely,positive
This situation is a total burden,negative
The food tastes lovely,positive
The company is based in new york.,neutral
I can't believe how frustrating this is.,negative
I'm dealing with a poor disaster,negative
The event is scheduled for tomorrow.,neutral
They do scheduled for 3 pm,neutral
This situation is a total pain,negative
The company is based in new york.,neutral
The report contains five sections.,neutral
The performance was delighted,positive
The report contains five sections.,neutral
The event is scheduled for tomorrow.,neutral
The movie was poor,negative
I can't believe how bad this is.,negative
The event is scheduled for tomorrow.,neutral
The event is scheduled for tomorrow.,neutral
The service was depressing,negative
This is a factual statement.,neutral
I am thoroughly impressed and fantastic,positive
The event is scheduled for tomorrow.,neutral
The movie was unhappy,negative
She is attending the meeting,neutral
It's a perfect day today.,positive
This is absolutely annoying,negative
The service was frustrating,negative
I absolutely adore this.,positive
The file has been downloaded.,neutral
Everything about this is just ecstatic,positive
The object is rectangular.,neutral
The report contains five sections.,neutral
The item does on the table,neutral
I feel so brilliant,positive
The movie was unhappy,negative
The food tastes amazing,positive
This is a factual statement.,neutral
The whole thing is a total failure,negative
Everything about this is just happy,positive
The service was abysmal,negative
I can't believe how poor this is.,negative
The report contains five sections.,neutral
This is truly perfect,positive
She is using the system,neutral
What a unhappy situation.,negative
The performance was thrilled,positive
I hate having to do this.,negative
The movie was abysmal,negative
The news was quite annoying,negative
The event is scheduled for tomorrow.,neutral
Please review the attached computer,neutral
The service was poor,negative
The report was on the desk.,neutral
The movie was miserable,negative
The news was quite annoying,negative
The report contains five sections.,neutral
The food tastes wonderful,positive
My day was filled with achievement,positive
The company is based in new york.,neutral
It's a unhappy day for me.,negative
It's a amazing day today.,positive
The experience is a joy to watch,positive
She is preparing the report,neutral
The performance was brilliant,positive
The product was on the desk.,neutral
I wholeheartedly enjoy this product.,positive
It's a dreadful day for me.,negative
The report contains five sections.,neutral
It's a poor day for me.,negative
The phone did on the desk.,neutral
What a terrible situation.,negative
The file has been downloaded.,neutral
I am thoroughly impressed and delighted,positive
The service was terrible,negative
This is truly ecstatic,positive
The file has been downloaded.,neutral
I absolutely admire this.,positive
I'm dealing with a abysmal nightmare,negative
I absolutely value this.,positive
I absolutely love this.,positive
What a miserable situation.,negative
The report contains five sections.,neutral
I absolutely adore this.,positive
The file has been downloaded.,neutral
The news was quite abysmal,negative
What a unhappy situation.,negative
The product was on the desk.,neutral
The building was on the desk.,neutral
The item did on the desk.,neutral
This is absolutely horrible,negative
I completely refuse this.,negative
The movie was worst,negative
I feel so excellent,positive
The movie was depressing,negative
The report contains five sections.,neutral
I refuse having to do this.,negative
I completely refuse this.,negative
I'm dealing with a poor nightmare,negative
The object is rectangular.,neutral
This bliss is a reason for paradise,positive
This is truly brilliant,positive
Everything about this is just thrilled,positive
The product specifications are in the product,neutral
I'm dealing with a worst scam,negative
What a thrilled party,positive
The event is scheduled for tomorrow.,neutral
The service was annoying,negative
The whole thing is very disappointing,negative
It's a useless day for me.,negative
The experience makes me happy,positive
I wholeheartedly celebrate this product.,positive
This situation is a total mess,negative
The item did on the desk.,neutral
The experience was a great experience,positive
I absolutely appreciate this.,positive
She is going to the office,neutral
The company is based in new york.,neutral
The report contains blue,neutral
The item did on the desk.,neutral
My day was filled with success,positive
The product specifications are in the building,neutral
This is truly awesome,positive
The object is rectangular.,neutral
The service was disappointing,negative
This is absolutely bad,negative
I absolutely recommend this.,positive
The food tastes brilliant,positive
The report contains five sections.,neutral
I'm dealing with a annoying disaster,negative
The whole thing is a total failure,negative
I wholeheartedly love this product.,positive
My day was filled with opportunity,positive
The experience is a joy to watch,positive
The news was quite terrible,negative
The food tastes happy,positive
The company is based in new york.,neutral
Please review the attached house,neutral
This is absolutely poor,negative
That is located in the city center,neutral
It's a useless day for me.,negative
I am thoroughly impressed and lovely,positive
What a poor situation.,negative
This is absolutely awful,negative
They are blue,neutral
It's a pleased day today.,positive
The product specifications are in the product,neutral
I feel very annoying,negative
The service was horrible,negative
The report contains five sections.,neutral
This situation is a total con,negative
I absolutely love this.,positive
It is made of wood,neutral
It contains blue,neutral
This is a factual statement.,neutral
I feel very horrible,negative
I completely can't stand this.,negative
The report contains five sections.,neutral
The movie was unhappy,negative
The whole thing was a terrible experience,negative
The service was awful,negative
The meeting will begin shortly.,neutral
Please review the attached product,neutral
The report contains five sections.,neutral
The service was terrible,negative
The whole thing is very disappointing,negative
This is truly joyful,positive
Please review the attached house,neutral
Everything about this is just superb,positive
The movie was frustrating,negative
This is a factual statement.,neutral
The product specifications are in the report,neutral
The meeting will begin shortly.,neutral
I can't believe how terrible this is.,negative
The file has been downloaded.,neutral
The company is based in new york.,neutral
The food tastes satisfied,positive
It's a abysmal day for me.,negative
The product specifications are in the report,neutral
The report contains five sections.,neutral
This party is a reason for wonder,positive
The product specifications are in the car,neutral
The meeting will begin shortly.,neutral
The experience is truly inspiring,positive
I can't believe how depressing this is.,negative
The object is rectangular.,neutral
The whole thing is very disappointing,negative
This treasure is a reason for sunshine,positive
The product specifications are in the table,neutral
The performance was content,positive
The service was horrible,negative
The performance was delighted,positive
I feel very awful,negative
The product were on the desk.,neutral
They works a standard procedure,neutral
The news was quite awful,negative
I feel very depressing,negative
The performance was content,positive
Please review the attached building,neutral
The movie was abysmal,negative
The event is scheduled for tomorrow.,neutral
The movie was poor,negative
This is a factual statement.,neutral
The system contains made of wood,neutral
The movie was depressing,negative
It's a abysmal day for me.,negative
The book was on the desk.,neutral
The document works located in the city center,neutral
I'm dealing with a abysmal scam,negative
The product specifications are in the book,neutral
The report contains five sections.,neutral
Please review the attached report,neutral
The news was quite terrible,negative
This is truly ecstatic,positive
It's a annoying day for me.,negative
The experience is truly inspiring,positive
The movie was miserable,negative
The meeting will begin shortly.,neutral
The report contains five sections.,neutral
The company is based in new york.,neutral
The meeting will begin shortly.,neutral
This paradise is a reason for success,positive
I feel so lovely,positive
The city was on the desk.,neutral
The system are scheduled for 3 pm,neutral
I feel very useless,negative
The report contains five sections.,neutral
The product specifications are in the city,neutral
This paradise is a reason for joy,positive
I wholeheartedly celebrate this product.,positive
This sunshine is a reason for celebration,positive
Everything about this is just great,positive
What a useless situation.,negative
She is preparing the report,neutral
I am thoroughly impressed and ecstatic,positive
The experience works perfectly,positive
It's a thrilled day today.,positive
The performance was great,positive
She is using the system,neutral
I absolutely admire this.,positive
The company is based in new york.,neutral
This is a factual statement.,neutral
The performance was happy,positive
The experience makes me happy,positive
The item does made of wood,neutral
I absolutely appreciate this.,positive
My day was filled with paradise,positive
The whole thing is a waste of time,negative
The news was quite dreadful,negative
I feel so lovely,positive
The experience is a joy to watch,positive
I feel so happy,positive
Everything about this is just awesome,positive
This situation is a total issue,negative
The company is based in new york.,neutral
What a horrible situation.,negative
The company is based in new york.,neutral
The movie was useless,negative
The movie was unhappy,negative
What a abysmal situation.,negative
Everything about this is just delighted,positive
Everything about this is just great,positive
My day was filled with bliss,positive
My day was filled with achievement,positive
I completely despise this.,negative
The file has been downloaded.,neutral
The news was quite horrible,negative
The file has been downloaded.,neutral
The experience is truly inspiring,positive
I regret having to do this.,negative
I wholeheartedly value this product.,positive
This is absolutely bad,negative
What a ecstatic bliss,positive
This is absolutely unhappy,negative
I feel very unhappy,negative
The event is scheduled for tomorrow.,neutral
What a disappointing situation.,negative
The service was depressing,negative
I dislike having to do this.,negative
This is a factual statement.,neutral
Everything about this is just brilliant,positive
The performance was wonderful,positive
The movie was sad,negative
I feel so brilliant,positive
I wholeheartedly adore this product.,positive
The item was on the desk.,neutral
The experience is the best,positive
This is absolutely bad,negative
I completely loathe this.,negative
The item has scheduled for 3 pm,neutral
The product specifications are in the computer,neutral
The product specifications are in the book,neutral
It's a dreadful day for me.,negative
That do scheduled for 3 pm,neutral
The event is scheduled for tomorrow.,neutral
I am thoroughly impressed and ecstatic,positive
The meeting will begin shortly.,neutral
Please review the attached item,neutral
The report contains five sections.,neutral
The performance was awesome,positive
I absolutely praise this.,positive
She is reading the book,neutral
I regret having to do this.,negative
I completely dread this.,negative
This situation is a total disaster,negative
This achievement is a reason for wonder,positive
The service was horrible,negative
The object is rectangular.,neutral
I wholeheartedly praise this product.,positive
This is a factual statement.,neutral
I can't believe how frustrating this is.,negative
The experience works perfectly,positive
This is a factual statement.,neutral
It's a fantastic day today.,positive
The report contains five sections.,neutral
The service was abysmal,negative
It's a content day today.,positive
I can't believe how awful this is.,negative
I feel very dreadful,negative
This is a factual statement.,neutral
The whole thing was a complete disaster,negative
I'm dealing with a bad mess,negative
The item was on the desk.,neutral
Please review the attached computer,neutral
I feel so perfect,positive
My day was filled with celebration,positive
I completely despise this.,negative
This is truly ecstatic,positive
I am thoroughly impressed and happy,positive
Please review the attached chair,neutral
The experience is my favorite,positive
I wholeheartedly appreciate this product.,positive
I'm dealing with a depressing issue,negative
I can't believe how horrible this is.,negative
I'm dealing with a dreadful tragedy,negative
I wholeheartedly admire this product.,positive
The company is based in new york.,neutral
The report contains five sections.,neutral
I can't stand having to do this.,negative
The file has been downloaded.,neutral
The event is scheduled for tomorrow.,neutral
It's a great day today.,positive
I can't believe how abysmal this is.,negative
I am thoroughly impressed and lovely,positive
The food tastes pleased,positive
It's a lovely day today.,positive
What a pleased opportunity,positive
The file has been downloaded.,neutral
I'm dealing with a horrible failure,negative
Everything about this is just happy,positive
I can't believe how depressing this is.,negative
My day was filled with treasure,positive
I can't believe how poor this is.,negative
The experience is a joy to watch,positive
It's a depressing day for me.,negative
I feel very awful,negative
What a brilliant gift,positive
I am thoroughly impressed and delighted,positive
I absolutely appreciate this.,positive
I can't stand having to do this.,negative
The movie was sad,negative
This is a factual statement.,neutral
I can't believe how disappointing this is.,negative
It's a poor day for me.,negative
The food tastes lovely,positive
The performance was superb,positive
The document were on the desk.,neutral
It's a worst day for me.,negative
I completely dislike this.,negative
The file has been downloaded.,neutral
The object is rectangular.,neutral
I am thoroughly impressed and superb,positive
The experience is my favorite,positive
The file has been downloaded.,neutral
I feel very disappointing,negative
This is truly wonderful,positive
The whole thing was a complete disaster,negative
The performance was brilliant,positive
I feel so superb,positive
I'm dealing with a abysmal burden,negative
The report contains five sections.,neutral
The news was quite frustrating,negative
My day was filled with treasure,positive
The meeting will begin shortly.,neutral
The product specifications are in the water,neutral
I feel so fantastic,positive
This situation is a total pain,negative
The experience is the best,positive
The report do a standard procedure,neutral
It's a superb day today.,positive
My day was filled with miracle,positive
My day was filled with joy,positive
The whole thing was a complete disaster,negative
The food tastes awesome,positive
Please review the attached report,neutral
The object is rectangular.,neutral
The meeting will begin shortly.,neutral
The experience is a joy to watch,positive
What a frustrating situation.,negative
The object is rectangular.,neutral
I wholeheartedly celebrate this product.,positive
I feel so superb,positive
This is a factual statement.,neutral
This is truly happy,positive
Please review the attached table,neutral
The report contains five sections.,neutral
The product specifications are in the system,neutral
What a dreadful situation.,negative
I absolutely love this.,positive
It's a content day today.,positive
It's a perfect day today.,positive
The food tastes happy,positive
The movie was depressing,negative
It have a standard procedure,neutral
I absolutely support this.,positive
It's a amazing day today.,positive
What a terrible situation.,negative
I can't believe how sad this is.,negative
Everything about this is just pleased,positive
The whole thing was a complete disaster,negative
Please review the attached document,neutral
The file has been downloaded.,neutral
The company is based in new york.,neutral
I feel so brilliant,positive
I reject having to do this.,negative
I can't believe how useless this is.,negative
The performance was satisfied,positive
This is absolutely frustrating,negative
The table were on the desk.,neutral
The experience makes me happy,positive
